threshold,tp17,fp17,fn17,tn17,tp19,fp19,fn19,tn19,prec17,rec17,prec19,rec19,f117,f119,tpr17,fpr17,tpr19,fpr19
0.0,860.0,2908.0,0.0,0.0,860.0,2908.0,0.0,0.0,0.22823779193205945,1.0,0.22823779193205945,1.0,0.3716508210890233,0.3716508210890233,1.0,1.0,1.0,1.0
0.01,859.0,12.0,1.0,2896.0,859.0,73.0,1.0,2835.0,0.9862227324913893,0.9988372093023256,0.9216738197424893,0.9988372093023256,0.9924898902368574,0.9587053571428572,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.025103163686382393
0.02,859.0,12.0,1.0,2896.0,859.0,73.0,1.0,2835.0,0.9862227324913893,0.9988372093023256,0.9216738197424893,0.9988372093023256,0.9924898902368574,0.9587053571428572,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.025103163686382393
0.03,859.0,12.0,1.0,2896.0,859.0,72.0,1.0,2836.0,0.9862227324913893,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9924898902368574,0.9592406476828587,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.024759284731774415
0.04,859.0,12.0,1.0,2896.0,859.0,72.0,1.0,2836.0,0.9862227324913893,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9924898902368574,0.9592406476828587,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.024759284731774415
0.05,859.0,12.0,1.0,2896.0,859.0,72.0,1.0,2836.0,0.9862227324913893,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9924898902368574,0.9592406476828587,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.024759284731774415
0.06,859.0,12.0,1.0,2896.0,859.0,72.0,1.0,2836.0,0.9862227324913893,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9924898902368574,0.9592406476828587,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.024759284731774415
0.07,859.0,12.0,1.0,2896.0,859.0,72.0,1.0,2836.0,0.9862227324913893,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9924898902368574,0.9592406476828587,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.024759284731774415
0.08,859.0,12.0,1.0,2896.0,859.0,72.0,1.0,2836.0,0.9862227324913893,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9924898902368574,0.9592406476828587,0.9988372093023256,0.0041265474552957355,0.9988372093023256,0.024759284731774415
0.09,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.1,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.11,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.12,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.13,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.14,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.15,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.16,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.17,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.18,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.19,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.2,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.21,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.22,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
